Peg No,Partial_Distances,Progressive_Distances,Ground_Levels,Pipeline_Levels,Excavation_Levels,Piezometric,Notes
0,0,0,837.75,834.5,832.5,840,Stacco diga
1,5,5,837.36,834.5,832.5,841,Stacco diga
2,40.31,45.31,834.2,831.45,829.45,842,Stacco diga
3,15.2,60.51,832.96,830.72,828.72,843,Stacco diga
4,17.25,77.76,831.65,829.9,827.9,844,Stacco diga
5,16.45,94.21,828.76,826,824,845,Stacco diga
6,7.67,101.88,827.88,824.87,822.87,846,Stacco diga
P12,12.06,113.94,826.79,823.1,821.1,847,Stacco diga
8,12.67,126.61,826.4,822.95,820.95,848,Stacco diga
9,30.32,156.93,824.6,821.8,819.8,849,Stacco diga
10,23.33,180.26,824.47,821.52,819.52,850,Stacco diga
11,15.37,195.63,824.28,821.34,819.34,851,Stacco diga
12,21.58,217.21,823.11,821.08,819.08,852,Stacco diga
13,22.2,239.41,822.93,820.82,818.82,853,Stacco diga
V5,22.2,261.61,825.93,820.82,818.82,853,Stacco diga
